Semien, Marcus,543760,2016,.016,.029,88,
Shaw, Travis,543768,2016,.009,.003,88.6,
Springer III, George,543807,2016,.001,-0.010,89.4,
Gregorius, Didi,544369,2016,.028,.094,86.1,
Trout, Mike,545361,2016,.011,-0.022,90.9,
Herrera, Odubel,546318,2016,.050,.064,87.7,
Harper, Bryce,547180,2016,-0.006,.003,89,
Martin, Leonys,547982,2016,.024,.046,87.6,
Abreu, Jose,547989,2016,.012,.001,89.7,
Suarez, Eugenio,553993,2016,.012,.018,86.6,
Polanco, Gregory,570256,2016,-0.015,.023,89.9,
Schoop, Jonathan,570731,2016,.016,.047,87.4,
Arenado, Nolan,571448,2016,.034,.096,89.5,
Gennett, Scooter,571697,2016,.035,.073,86.9,
Lamb, Jake,571875,2016,.003,.043,91.3,
Myers, Wil,571976,2016,.007,.028,88.6,
Piscotty, Stephen,572039,2016,.011,-0.003,88.3,
Seager, Kyle,572122,2016,-0.014,-0.013,90.4,
Carpenter, Matt,572761,2016,-0.016,-0.038,90.7,
Dickerson, Corey,572816,2016,.012,.027,89,
Dozier, Brian,572821,2016,.034,.089,88.1,
Iglesias, Jose,578428,2016,.004,.025,83.6,
Hechavarria, Adeiny,588751,2016,-0.035,-0.047,88.1,
Bryant, Kris,592178,2016,.025,.008,89.3,
Machado, Manny,592518,2016,.002,.006,90.3,
Realmuto, J.T.,592663,2016,.037,.041,88.6,
Yelich, Christian,592885,2016,-0.008,-0.029,92.6,
Bogaerts, Xander,593428,2016,.037,.044,89,
Calhoun, Kole,594777,2016,.000,-0.016,89.8,
Duvall, Adam,594807,2016,-0.006,.007,88.6,
Eaton, Adam,594809,2016,.016,.031,89,
Lindor, Francisco,596019,2016,.013,.011,88.7,
Odor, Rougned,596059,2016,.018,.044,89.6,
Cuthbert, Cheslor,596144,2016,.042,.084,89.3,
Franco, Maikel,596748,2016,-0.004,.000,89.5,
Bradley Jr., Jackie,598265,2016,.022,.047,90.3,
Betts, Mookie,605141,2016,.040,.088,89.7,
Panik, Joe,605412,2016,-0.020,-0.020,86.3,
Pillar, Kevin,607680,2016,.008,.015,87.1,
Ramirez, Jose,608070,2016,.022,.046,88.4,
Russell, Addison,608365,2016,.007,.007,87.6,
Seager, Corey,608369,2016,.004,-0.009,91.1,
Mazara, Nomar,608577,2016,.004,-0.007,88,
Garcia, Adonis,611177,2016,-0.007,-0.017,89,
Correa, Carlos,621043,2016,-0.011,-0.029,91,
Tomas, Yasmany,630111,2016,-0.002,.017,90.6,
Hunter, Torii,116338,2015,.006,.033,88.5,
Ortiz, David,120074,2015,-0.028,-0.063,93,
Rodriguez, Alex,121347,2015,.003,-0.008,91.3,
Ramirez, Aramis,133380,2015,.006,.018,87.4,
Beltre, Adrian,134181,2015,-0.008,-0.029,89.5,
Beltran, Carlos,136860,2015,.002,.023,90.6,
Rollins, Jimmy,276519,2015,-0.010,.019,85.8,
Pujols, Albert,405395,2015,-0.024,-0.001,90.7,
Byrd, Marlon,407781,2015,.010,.019,86.4,
Mauer, Joe,408045,2015,-0.010,-0.046,89.5,
Cabrera, Miguel,408234,2015,.015,-0.061,93.8,
Gonzalez, Adrian,408236,2015,-0.005,-0.015,88.7,
Phillips, Brandon,408252,2015,.004,.005,86.3,
Reyes, Jose,408314,2015,.029,.075,84.6,
Peralta, Jhonny,425509,2015,.002,-0.014,88.1,
Choo, Shin-Soo,425783,2015,.022,.019,90.9,
Molina, Yadier,425877,2015,.033,.022,86.4,
